Index,Var 1,Var 2,var 3
1,0.343516343,0.304971465,0.166234321
2,0.294381542,0.42793054,0.011963256
3,0.189977721,0.712576678,0.933530686
4,0.529190954,0.593188269,0.468855861
5,0.277047029,0.132114628,0.471388897
6,0.009247108,0.421674245,0.527756584
7,0.415387432,0.92730491,0.989684744
8,0.140476699,0.777275918,0.790215766
9,0.908810694,0.799035615,0.735587634
10,0.568742943,0.247688223,0.854518265
11,0.065340129,0.951811274,0.397228919
12,0.261818293,0.019775994,0.326944792
13,0.253700369,0.654805139,0.229041414
14,0.708365123,0.560289315,0.947019868
15,0.023316141,0.393139439,0.062929167
16,0.488967559,0.085695975,0.627430036
17,0.636860256,0.313638722,0.841456343
18,0.063631092,0.040253914,0.500534074
19,0.489883114,0.289803766,0.450880459
20,0.190649129,0.085055086,0.212561419
21,0.442365795,0.282845546,0.571642201
22,0.574785607,0.555955687,0.343119602
23,0.181737724,0.389385662,0.124607074
24,0.758018738,0.099856563,0.57023835
25,0.504806665,0.66359447,0.801293985
26,0.541703543,0.373210852,0.680776391
27,0.970580157,0.107852412,0.243812372
28,0.988708151,0.406567583,0.362804041
29,0.862147893,0.767387921,0.820001831
30,0.923245949,0.632618183,0.540391247
31,0.929441206,0.264381848,0.735282449
32,0.449598682,0.763115329,0.44102298
33,0.088503677,0.99243141,0.571275979
34,0.974181341,0.813318278,0.25348674
35,0.256782739,0.185186316,0.356151006
36,0.161656545,0.728995636,0.758568072
37,0.925931578,0.803460799,0.088076418
38,0.81408124,0.401959288,0.324686422
39,0.045594653,0.270332957,0.368663594
40,0.451033052,0.487563707,0.78051088
41,0.43366802,0.159001434,0.586291086
42,0.02130192,0.485091708,0.528794214
43,0.36753441,0.617145299,0.044892727
44,0.30957976,0.1388287,0.47993408
45,0.373790704,0.229377117,0.685354167
46,0.84643086,0.484664449,0.580095828
47,0.639698477,0.793939024,0.720358898
48,0.109256264,0.931730094,0.515823847
49,0.051911985,0.749565111,0.724631489
50,0.138065737,0.754417554,0.217719047
51,0.74385815,0.358043153,0.61507004
52,0.013550218,0.404492325,0.686758019
53,0.331736198,0.850795007,0.644001587
54,0.576067385,0.256447035,0.050691244
55,0.866115299,0.211615345,0.141239662
56,0.930051576,0.902493362,0.253364666
57,0.041993469,0.714072085,0.397930845
58,0.304300058,0.036957915,0.006591998
59,0.526078066,0.389172033,0.915707877
60,0.347544786,0.440900906,0.224036378
61,0.495162816,0.890011292,0.371318705
62,0.558366649,0.719046602,0.727317118
63,0.764213996,0.370281075,0.196295053
64,0.902157659,0.382763146,0.196874905
65,0.335703604,0.628192999,0.766045106
66,0.380443739,0.732139042,0.756126591
67,0.956236457,0.511795404,0.961027863
68,0.014984588,0.89947203,0.852473525
69,0.437604907,0.060151982,0.42710654
70,0.016327403,0.496414075,0.859157079
71,0.223029267,0.692556536,0.348063601
72,0.446607868,0.683675649,0.690359203
73,0.069093905,0.57985168,0.076754051
